,RAP,MSU1
408,Os01g0142100,LOC_Os01g04900
409,Os01g0142200,LOC_Os01g04910
410,Os01g0142300,LOC_Os01g04920
411,Os01g0142400,None
412,Os01g0142500,LOC_Os01g04930
413,Os01g0142600,LOC_Os01g04950
414,Os01g0142800,LOC_Os01g04950
415,Os01g0142875,None
416,Os01g0142950,None
417,Os01g0143100,LOC_Os01g04990
418,Os01g0143200,LOC_Os01g05000
419,Os01g0143300,LOC_Os01g05010
420,Os01g0143350,None
421,Os01g0143400,LOC_Os01g05020
422,Os01g0143501,None
423,Os01g0143600,LOC_Os01g05040
424,Os01g0143650,LOC_Os01g05040
425,Os01g0143700,LOC_Os01g05050
426,Os01g0143750,None
427,Os01g0143800,LOC_Os01g05060
428,Os01g0143900,LOC_Os01g05064
429,Os01g0144000,LOC_Os01g05070
430,Os01g0144100,LOC_Os01g05080
431,Os01g0144200,LOC_Os01g05090
432,Os01g0144300,LOC_Os01g05100
433,Os01g0144340,None
434,Os01g0144380,LOC_Os01g05105
435,Os01g0144500,LOC_Os01g05120
436,Os01g0144600,LOC_Os01g05130
437,Os01g0144700,LOC_Os01g05140
438,Os01g0144800,LOC_Os01g05150
439,Os01g0144900,None
440,Os01g0145000,LOC_Os01g05170
441,Os01g0145101,None
442,Os01g0145200,LOC_Os01g05180
443,Os01g0145400,LOC_Os01g05210
444,Os01g0145500,LOC_Os01g05220
445,Os01g0145600,None
446,Os01g0145700,None
447,Os01g0145800,LOC_Os01g05250
448,Os01g0145900,LOC_Os01g05260
449,Os01g0146000,LOC_Os01g05280
450,Os01g0146101,LOC_Os01g05289
451,Os01g0146200,LOC_Os01g05310
452,Os01g0146351,None
453,Os01g0146500,LOC_Os01g05340
454,Os01g0146600,None
455,Os01g0146700,LOC_Os01g05370
456,Os01g0146801,LOC_Os01g05380
457,Os01g0146900,LOC_Os01g05390
458,Os01g0147001,LOC_Os01g05400
459,Os01g0147100,LOC_Os01g05410
460,Os01g0147166,None
461,Os01g0147200,LOC_Os01g05420
462,Os01g0147250,None
463,Os01g0147300,LOC_Os01g05430
464,Os01g0147400,LOC_Os01g05440
465,Os01g0147600,LOC_Os01g05450
466,Os01g0147650,None
467,Os01g0147700,LOC_Os01g05470
468,Os01g0147800,LOC_Os01g05480
469,Os01g0147850,None
470,Os01g0147900,LOC_Os01g05490
471,Os01g0147950,None
472,Os01g0148000,LOC_Os01g05500
473,Os01g0148050,LOC_Os01g05500
474,Os01g0148075,None
475,Os01g0148100,LOC_Os01g05510
476,Os01g0148200,LOC_Os01g05520
477,Os01g0148300,None
478,Os01g0148400,LOC_Os01g05530
479,Os01g0148500,LOC_Os01g05540
480,Os01g0148600,None
481,Os01g0148700,LOC_Os01g05560
482,Os01g0149200,LOC_Os01g05585
483,Os01g0149300,LOC_Os01g05590
484,Os01g0149350,LOC_Os01g05600
485,Os01g0149400,LOC_Os01g05610
486,Os01g0149500,LOC_Os01g05620
487,Os01g0149600,LOC_Os01g05630
488,Os01g0149700,LOC_Os01g05640
489,Os01g0149750,None
490,Os01g0149800,LOC_Os01g05650
491,Os01g0149900,LOC_Os01g05660
492,Os01g0150000,LOC_Os01g05670
493,Os01g0150100,LOC_Os01g05680
494,Os01g0150200,LOC_Os01g05694
495,Os01g0150301,None
496,Os01g0150400,LOC_Os01g05710
497,Os01g0150500,LOC_Os01g05720
498,Os01g0150700,LOC_Os01g05730
499,Os01g0150750,None
500,Os01g0150800,LOC_Os01g05744
501,Os01g0150900,LOC_Os01g05760
502,Os01g0150950,LOC_Os01g05770
503,Os01g0151001,None
504,Os01g0151100,LOC_Os01g05790
505,Os01g0151200,LOC_Os01g05800
506,Os01g0151400,LOC_Os01g05810
507,Os01g0151500,LOC_Os01g05820
508,Os01g0151600,LOC_Os01g05830
509,Os01g0151700,LOC_Os01g05840
510,Os01g0151750,None
511,Os01g0151800,LOC_Os01g05850
512,Os01g0151900,LOC_Os01g05860
513,Os01g0152000,LOC_Os01g05870
514,Os01g0152050,None
515,Os01g0152100,LOC_Os01g05880
516,Os01g0152200,LOC_Os01g05890
517,Os01g0152300,LOC_Os01g05900
518,Os01g0152500,None
519,Os01g0152600,LOC_Os01g05940
520,Os01g0152675,None
