gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Os08g0545300,34.54895639,-2.790107129,0.644234614,-4.330886715,1.49E-05,0.000130249
Os08g0545700,32.40600739,-3.29446407,1.059480878,-3.109507816,0.001873993,0.008447072
Os08g0549200,89.87476721,-2.623487632,0.398292144,-6.586842522,4.49E-11,1.20E-09
Os08g0551300,18.48903786,-2.501234808,0.557845345,-4.483742368,7.33E-06,6.92E-05
Os08g0552300,23.21859003,5.285666633,1.087139748,4.861993723,1.16E-06,1.32E-05
Os08g0552400,22.69933759,2.456348032,0.525454521,4.674711003,2.94E-06,3.05E-05
Os08g0553100,10.75315864,3.349016352,1.01179829,3.309964431,0.000933078,0.004691345
Os08g0557600,4760.649509,2.364255075,0.252941266,9.347051621,9.01E-21,7.90E-19
Os09g0124166,10.7264828,-3.984474017,1.209828834,-3.293419618,0.000989766,0.004932028
Os09g0238700,14.71478487,2.458698297,0.588845361,4.175456684,2.97E-05,0.000240869
Os09g0279500,340.7716987,-2.493479233,0.807766053,-3.086882921,0.002022672,0.008994915
Os09g0279900,19.34996256,-2.563404891,0.776384464,-3.301721004,0.000960936,0.004811009
Os09g0309200,163.2110436,2.756040199,0.348207729,7.914931152,2.47E-15,1.22E-13
Os09g0319701,15.66135948,6.923080081,1.337708971,5.175326048,2.28E-07,3.06E-06
Os09g0322800,28.98219403,-2.276569734,0.499795711,-4.555000541,5.24E-06,5.10E-05
Os09g0323700,75.87346918,4.299716178,0.361764199,11.88541095,1.41E-32,3.48E-30
Os09g0330000,85.55320026,-2.441629594,0.327106229,-7.464332315,8.37E-14,3.37E-12
Os09g0332600,750.5682597,2.073158606,0.196136762,10.56996446,4.11E-26,5.80E-24
Os09g0332700,2317.218392,2.103774361,0.211062631,9.967535942,2.11E-23,2.42E-21
Os09g0345600,11.32231853,4.771907748,1.03614363,4.605450063,4.12E-06,4.10E-05
Os09g0353200,27.32170985,-3.091784171,0.5376698,-5.750340027,8.91E-09,1.58E-07
Os09g0361300,317.0687209,-2.046150345,0.304494354,-6.719830167,1.82E-11,5.21E-10
Os09g0364400,839.1637363,2.693171527,0.207679205,12.9679403,1.86E-38,7.07E-36
Os09g0367700,4124.305664,4.834155384,0.290938686,16.61571874,5.36E-62,6.91E-59
